video name,mos,accepted scores,rejected scores
bunny_1_2_1000k_720_3,2.516,2 1 3 3 4 1 3 4 3 2 2 3 3 1 2 1 2 1 4 3 4 1 3 4 1 3 3 3 3 1 4,1 5 3 3 2 2 3
bunny_1_2_1000k_720_4,2.71,2 1 3 4 4 1 3 4 3 2 2 3 4 1 3 1 2 1 4 4 4 1 4 4 1 3 3 3 5 1 3,3 5 5 5 5 5 2
bunny_1_2_1000k_720_5,2.548,2 1 2 3 4 1 3 4 4 2 2 3 2 1 2 1 2 1 4 3 4 1 3 4 1 4 3 3 4 2 3,2 5 2 4 4 2 3
bunny_1_2_1000k_720_6,2.419,2 1 2 3 4 1 3 4 3 2 2 3 2 1 3 1 2 1 4 4 4 1 2 3 1 2 3 3 3 2 3,4 5 2 4 2 2 3
bunny_1_2_1000k_720_7,2.516,2 1 2 3 4 1 3 4 3 2 2 2 3 1 2 1 2 1 4 3 4 1 3 3 1 3 3 4 3 3 4,3 5 3 5 2 2 3
bunny_1_2_200k_90_3,1.303,1 1 1 1 1 1 1 2 1 1 2 2 1 1 1 1 3 1 1 1 2 1 2 1 1 1 3 1 2 1 1 1 1,2 1 1 5 1 1 1 1 1 1 2
bunny_1_2_200k_90_4,1.576,2 1 1 3 1 1 1 3 1 1 3 2 1 1 1 1 3 1 1 2 3 1 3 1 1 1 3 1 2 1 1 2 1,1 4 4 2 1 1 1 2 2 1 1
bunny_1_2_200k_90_5,1.212,1 1 1 1 1 1 1 2 1 1 2 2 1 1 1 1 2 2 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1,3 1 2 1 1 2 1 1 2 1 2
bunny_1_2_200k_90_6,1.212,1 1 1 1 1 1 1 2 1 1 3 2 1 1 1 1 1 2 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1,1 2 2 1 1 1 1 1 1 1 2
bunny_1_2_200k_90_7,1.242,1 1 1 1 1 1 1 2 1 1 3 2 1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 1 1 1 1 2 1,2 2 3 1 1 1 1 2 2 1 3
bunny_1_0_300k_180_3,3.156,2 3 1 5 4 4 4 4 4 1 1 4 3 3 2 2 1 3 5 5 5 5 4 1 3 4 1 4 4 2 4 3,5 4 3 5 4 3 4 3 5 4 5 4 5 3 4 3 3
bunny_1_0_300k_180_4,2.906,2 3 1 4 4 4 4 3 4 1 1 4 3 3 3 3 1 3 5 4 4 2 3 1 3 4 1 3 3 2 4 3,5 4 5 5 5 5 4 2 4 4 5 5 5 4 4 4 2
bunny_1_0_300k_180_5,2.812,2 3 1 3 4 4 4 3 4 1 1 4 3 3 3 3 1 3 4 4 3 2 4 1 2 4 1 3 4 3 3 2,1 4 3 5 4 5 4 2 4 5 4 4 5 4 4 3 3
bunny_1_0_300k_180_6,2.75,2 2 1 3 4 4 3 4 4 1 1 4 3 3 3 2 1 3 4 4 3 2 3 1 2 4 1 4 3 2 4 3,5 4 4 5 4 5 4 3 4 4 4 3 5 4 4 4 1
bunny_1_0_300k_180_7,2.812,2 3 1 2 4 4 3 3 4 1 1 4 2 3 3 3 1 3 5 4 4 2 4 1 3 4 1 4 4 2 3 2,1 4 3 5 4 5 4 4 5 4 4 4 5 4 4 4 3
bunny_1_2_300k_180_3,1.75,1 3 1 1 2 1 1 3 3 1 1 1 1 3 3 2 2 2 1 3 1 2 2 2 2 3 1 3 1 1 1 1,1 1 4 4 2 1 3 4 4 4 2 2 3 1 3 1 2 3 1 3 1 5 5 1 3
bunny_1_2_300k_180_4,1.906,2 4 1 3 3 1 1 3 1 1 1 1 1 2 2 2 1 3 5 2 3 3 2 1 1 2 1 3 1 2 1 1,3 1 4 4 1 1 3 4 4 4 2 2 3 1 3 2 5 3 1 3 2 1 3 1 2
bunny_1_2_300k_180_5,1.875,1 3 1 2 2 1 1 3 3 2 1 1 1 2 3 2 2 2 3 3 1 2 3 1 2 2 1 3 1 2 1 2,2 1 3 4 2 1 3 1 4 3 1 1 3 1 2 1 5 3 1 2 1 5 2 1 1
bunny_1_2_300k_180_6,1.75,1 3 1 2 1 1 1 3 3 1 1 1 1 3 3 2 2 2 2 4 1 2 2 1 2 1 1 3 1 2 1 1,1 1 3 4 1 1 3 1 4 3 2 1 3 1 2 2 2 3 1 2 1 1 4 1 1
bunny_1_2_300k_180_7,1.75,2 3 1 1 1 1 1 3 3 1 1 1 1 3 3 2 3 2 2 4 1 2 2 1 2 1 1 3 1 1 1 1,2 1 4 4 3 1 3 4 3 4 2 2 3 1 2 2 1 4 1 2 2 3 3 1 1
bunny_1_0_200k_90_3,2.367,2 1 2 4 3 1 4 3 2 4 3 3 1 1 2 1 3 1 1 5 3 2 3 3 1 3 2 2 3 2,2 1 3
bunny_1_0_200k_90_4,2.167,2 1 2 3 3 1 4 3 2 3 3 3 1 1 2 1 3 1 1 4 3 2 2 3 1 3 2 2 2 1,1 1 3
bunny_1_0_200k_90_5,2.033,1 1 2 3 4 1 4 2 2 2 3 3 1 1 2 1 3 1 1 4 2 2 2 3 1 1 2 2 2 2,1 2 3
bunny_1_0_200k_90_6,2.,1 1 2 4 3 1 4 3 2 1 3 2 1 1 2 1 3 1 1 4 2 2 2 2 1 3 2 2 2 1,1 3 3
bunny_1_0_200k_90_7,2.1,2 1 2 4 3 1 4 3 2 1 3 3 1 1 2 1 3 1 1 4 2 2 2 3 1 3 2 2 1 2,2 2 2
